episode_return,episode_length,episode_success,final_position
-200.0,200,0,-0.5831769108772278
-200.0,200,0,-0.5512664914131165
-200.0,200,0,-0.43128231167793274
-173.0,173,0,-0.47248226404190063
-115.0,115,0,-0.47017019987106323
-162.0,162,0,-0.4659593403339386
-200.0,200,0,-0.4474194049835205
-145.0,145,0,-0.5883783102035522
-200.0,200,0,-0.5266783237457275
-196.0,196,0,-0.4920945167541504
-124.0,124,0,-0.5323086977005005
-143.0,143,0,-0.43110421299934387
-148.0,148,0,-0.5034855008125305
-113.0,113,0,-0.4462744891643524
-127.0,127,0,-0.4295969009399414
-150.0,150,0,-0.49904170632362366
-125.0,125,0,-0.41808953881263733
-168.0,168,0,-0.4825752079486847
-119.0,119,0,-0.4299451410770416
-133.0,133,0,-0.5318818688392639
-177.0,177,0,-0.5002366304397583
-174.0,174,0,-0.4937177896499634
-185.0,185,0,-0.5790040493011475
-185.0,185,0,-0.5202894806861877
-162.0,162,0,-0.4165324568748474
-200.0,200,0,-0.4738335609436035
-144.0,144,0,-0.5644986629486084
-129.0,129,0,-0.5322288870811462
-193.0,193,0,-0.5616794228553772
-162.0,162,0,-0.5950353741645813
-200.0,200,0,-0.4145078957080841
-200.0,200,0,-0.5103585124015808
-165.0,165,0,-0.5384929776191711
-183.0,183,0,-0.4803045690059662
-186.0,186,0,-0.5985370874404907
-191.0,191,0,-0.5443955659866333
-200.0,200,0,-0.45939329266548157
-200.0,200,0,-0.4732460379600525
-183.0,183,0,-0.4036388099193573
-200.0,200,0,-0.4759284555912018
-134.0,134,0,-0.5044988393783569
-146.0,146,0,-0.4477134943008423
-200.0,200,0,-0.41933441162109375
-200.0,200,0,-0.45586082339286804
-170.0,170,0,-0.40735775232315063
-200.0,200,0,-0.4435989558696747
-138.0,138,0,-0.42663970589637756
-198.0,198,0,-0.5771791934967041
-200.0,200,0,-0.45351728796958923
-200.0,200,0,-0.511982262134552
-200.0,200,0,-0.48937922716140747
-144.0,144,0,-0.46917951107025146
-200.0,200,0,-0.40603697299957275
-144.0,144,0,-0.403084397315979
-200.0,200,0,-0.5423543453216553
-200.0,200,0,-0.4532493054866791
-200.0,200,0,-0.4500032961368561
-157.0,157,0,-0.5307013988494873
-200.0,200,0,-0.5752260684967041
-189.0,189,0,-0.5918105840682983
-118.0,118,0,-0.4445313811302185
